Time,ms
251,24
1227,10
1698,14
2230,20
2747,34
3255,22
3756,25
4278,23
4796,23
5309,26
5812,24
6317,23
6828,30
7348,25
7862,26
8365,26
8872,25
9389,24
9942,22
10464,25
10976,27
11476,21
12011,19
12519,19
13028,20
13544,24
18755,27
19257,32
19763,25
20281,22
20787,23
21290,22
21804,25
22317,29
22822,26
23333,22
23837,43
24352,23
24867,22
25379,22
25893,22
26394,22
26909,21
27412,23
27915,22
28418,21
28928,21
29438,23
29948,23
30460,21
30961,21
31470,23
31979,20
32487,22
32997,20
33511,22
34012,21
34525,22
35039,22
35545,23
36057,23
36560,21
37072,22
37583,23
38086,21
38603,50
39121,24
39627,22
40137,25
40651,22
41157,24
41665,25
42178,26
42694,25
43199,24
43713,23
44222,23
44736,24
45236,23
45751,21
46253,22
46754,21
47258,20
47767,23
48274,23
48785,22
49288,24
49792,21
50296,22
50805,23
51317,21
51827,21
52341,20
52844,22
53347,24
53848,33
54356,21
54863,22
55375,54
55891,21
56399,22
56902,22
57432,24
57918,21
58446,23
58956,22
59443,23
59944,23
60459,23
60971,34
61486,21
61994,21
62501,20
63003,23
63501,23
64014,24
64528,22
65029,20
65538,21
66053,24
66558,22
67064,26
67566,26
68079,22
68596,26
69102,25
69616,24
70128,25
70643,22
71144,22
71654,23
72160,23
72666,25
73169,22
73677,26
74190,24
74704,24
75206,26
75720,24
76223,24
76727,23
77228,23
77734,23
78237,25
78749,24
79252,24
79762,23
80274,22
80782,24
81291,23
81803,22
82317,23
82826,23
83337,21
83849,23
84353,25
84867,23
85381,23
85888,24
86393,25
86897,23
87400,22
87909,21
88411,22
88925,22
89435,32
89936,22
90449,22
90952,33
91457,22
91969,29
92474,23
92994,25
93505,21
94012,21
94518,19
95031,34
95545,23
96051,22
96566,22
97079,25
97581,23
98094,24
98607,22
99123,36
99668,25
100134,22
100639,22
101151,23
101655,25
102157,24
102665,24
103177,27
103687,22
104189,22
104695,21
105208,24
105719,20
106264,23
106767,22
107273,25
107787,33
108301,23
108817,22
109322,23
109828,23
110337,43
110838,42
111341,21
111849,22
112362,23
112862,20
113372,25
113887,23
114393,22
114897,22
115404,23
115922,23
116427,24
116942,22
117461,21
117975,22
118485,22
118997,23
119500,23
120006,24
120508,23
121011,21
121527,21
122048,21
122551,22
123061,24
123577,22
124091,20
124597,37
125111,22

