Time (milliseconds),Time (seconds),Total milliseconds,Milliseconds per frame
1119,1.119,18,18
1650,1.65,26,8
2176,2.176,34,8
2706,2.706,40,6
3229,3.229,47,7
3752,3.752,54,7
4284,4.284,61,7
4803,4.803,68,7
5322,5.322,74,6
5847,5.847,81,7
6376,6.376,87,6
6906,6.906,93,6
7431,7.431,101,8
7960,7.96,107,6
8491,8.491,113,6
9023,9.023,120,7
9545,9.545,127,7
10075,10.075,133,6
10595,10.595,139,6
11118,11.118,146,7
11644,11.644,152,6
12173,12.173,159,7
12699,12.699,166,7
13228,13.228,173,7
13762,13.762,180,7
14288,14.288,186,6
14813,14.813,193,7
15459,15.459,201,8
16065,16.065,209,8
16605,16.605,219,10
17141,17.141,228,9
17671,17.671,235,7
18195,18.195,242,7
18724,18.724,249,7
19257,19.257,256,7
19781,19.781,264,8
20300,20.3,271,7
20827,20.827,277,6
21358,21.358,284,7
21893,21.893,292,8
22415,22.415,299,7
22932,22.932,307,8
23466,23.466,314,7
23990,23.99,321,7
24524,24.524,327,6
25126,25.126,338,11
25643,25.643,346,8
26177,26.177,352,6
26704,26.704,359,7
27223,27.223,366,7
27752,27.752,373,7
28280,28.28,381,8
28806,28.806,387,6
29338,29.338,394,7
29867,29.867,401,7
30390,30.39,407,6
30923,30.923,413,6
31441,31.441,420,7
31967,31.967,428,8
32487,32.487,434,6
33006,33.006,441,7
33527,33.527,447,6
34050,34.05,454,7
34575,34.575,461,7
35092,35.092,468,7
35644,35.644,476,8
36188,36.188,484,8
36731,36.731,494,10
37249,37.249,501,7
37768,37.768,508,7
38288,38.288,514,6
38806,38.806,520,6
39333,39.333,526,6
39850,39.85,533,7
40382,40.382,540,7
40904,40.904,546,6
41436,41.436,554,8
41954,41.954,560,6
42473,42.473,567,7
43003,43.003,573,6
43532,43.532,579,6
44065,44.065,587,8
44583,44.583,593,6
45115,45.115,600,7
45633,45.633,607,7
46159,46.159,613,6
46678,46.678,620,7
47205,47.205,626,6
47740,47.74,637,11
48253,48.253,644,7
48779,48.779,650,6
49356,49.356,660,10
49886,49.886,668,8
50457,50.457,678,10
50980,50.98,685,7
51503,51.503,692,7
52024,52.024,699,7
52549,52.549,707,8
53082,53.082,714,7
53608,53.608,723,9
54134,54.134,730,7
54661,54.661,737,7
55184,55.184,745,8
55712,55.712,751,6
56230,56.23,758,7
56749,56.749,765,7
57267,57.267,772,7
57785,57.785,779,7
58307,58.307,785,6
58826,58.826,792,7
59349,59.349,798,6
59879,59.879,805,7
60400,60.4,813,8
60921,60.921,820,7
61438,61.438,826,6
61957,61.957,832,6
62476,62.476,839,7
63008,63.008,846,7
63527,63.527,853,7
64045,64.045,859,6
64618,64.618,869,10
65154,65.154,879,10
65679,65.679,886,7
66224,66.224,894,8
66739,66.739,900,6
67269,67.269,907,7
67799,67.799,914,7
68325,68.325,921,7
68846,68.846,928,7
69373,69.373,935,7
69935,69.935,945,10
70460,70.46,953,8
71034,71.034,961,8
71638,71.638,973,12
72143,72.143,983,10
72698,72.698,991,8
73223,73.223,1000,9
73749,73.749,1007,7
74267,74.267,1013,6
74787,74.787,1020,7
75322,75.322,1027,7
75843,75.843,1033,6
76363,76.363,1040,7
76883,76.883,1047,7
77408,77.408,1053,6
77938,77.938,1060,7
78470,78.47,1067,7
78997,78.997,1073,6
79521,79.521,1079,6
80056,80.056,1086,7
80582,80.582,1093,7
81110,81.11,1100,7
81631,81.631,1107,7
82149,82.149,1114,7
82683,82.683,1121,7
83201,83.201,1128,7
83723,83.723,1135,7
84257,84.257,1141,6
84776,84.776,1148,7
85310,85.31,1155,7
85835,85.835,1162,7
86362,86.362,1169,7
86896,86.896,1176,7
87425,87.425,1183,7
87949,87.949,1190,7
88480,88.48,1196,6
89003,89.003,1203,7
89524,89.524,1209,6
90078,90.078,1217,8
